0,1,2,3,4,5,6,7,8,9,10
1,26.951456,25.353645,21.698023,20.525425,17.8903,29.037748,25.585531,29.760967,33.117786,29.3501
2,30.228773,30.572678,22.165264,17.82611,19.388103,29.081747,28.91285,29.459726,33.474266,31.10395
3,22.626602,26.186432,19.954893,20.579285,20.263042,29.60657,30.619732,32.854862,30.526869,29.352095
4,26.55292,27.583406,23.375414,22.610743,19.432274,27.575958,29.25149,28.320068,33.86029,25.650856
5,24.595964,28.180037,18.776033,19.123537,15.937305,28.769527,30.207071,30.755098,32.982178,28.872385
