0,1,2,3,4,5,6,7,8,9,10
1,29.976147,27.314676,27.377262,28.338531,27.417942,24.872602,28.548199,26.989155,33.808205,23.908138
2,22.439463,28.812798,21.945105,23.0259,21.91543,20.362453,29.680754,31.27049,33.00044,28.129944
3,17.976227,30.91915,21.214762,24.101673,20.78436,25.96775,31.251228,32.599773,32.311977,29.50302
4,27.819508,27.97444,26.042362,27.501293,24.699665,29.413818,29.837538,26.132566,31.564972,26.75941
5,28.767231,31.154068,28.706184,31.005083,27.558239,31.30729,31.34867,30.085135,31.037983,29.02042
