0,1,2,3,4,5
1,0.0,22.164028,24.354895,21.433897,22.899776
2,22.164028,0.0,16.616114,24.178186,25.00863
3,24.354895,16.616114,0.0,26.277302,24.942577
4,21.433897,24.178186,26.277302,0.0,18.640848
5,22.899776,25.00863,24.942577,18.640848,0.0
