0,1,2,3,4,5
1,0.0,24.687548,24.809715,19.908245,19.155869
2,24.687548,0.0,15.562843,27.245232,26.15505
3,24.809715,15.562843,0.0,27.470686,24.60764
4,19.908245,27.245232,27.470686,0.0,19.41997
5,19.155869,26.15505,24.60764,19.41997,0.0
