0,1,2,3,4,5,6,7,8,9,10
1,29.60931,29.33698,28.086506,29.418308,27.15045,28.508278,26.910923,26.013973,30.779736,23.585655
2,20.36389,31.038483,21.301577,24.462723,22.979877,20.640388,30.119806,30.875414,31.894806,29.00173
3,17.965286,32.145817,21.079723,25.104237,22.060904,26.707254,30.731594,33.451862,31.8881,29.199337
4,28.375587,26.878643,26.323685,26.161234,23.140324,31.900743,28.104725,25.768467,27.62913,22.767828
5,28.498278,30.736317,28.196062,29.351738,27.072588,31.490168,29.945772,28.968395,28.628675,25.929728
