0,1,2,3,4,5,6,7,8,9,10
1,28.028608,26.733498,22.111675,19.329588,19.509554,29.542963,26.154373,27.103848,30.856857,28.716673
2,28.448915,29.244505,23.94245,17.334862,18.598768,29.540321,27.689596,28.57913,30.85396,29.300177
3,24.282911,27.521715,19.402653,19.441616,20.517332,30.740646,28.811008,30.899963,26.34381,30.44862
4,25.357374,26.809528,24.437777,20.736238,18.228077,27.487444,28.15831,26.599339,30.018116,24.3454
5,23.638794,28.171902,18.37659,16.300102,14.701791,28.318989,30.18389,28.569809,29.915365,27.314182
