0,1,2,3,4,5,6,7,8,9,10
1,126.1214953271028,126.4392523364486,130.71028037383178,127.74766355140187,123.72897196261682,139.0373831775701,133.30841121495328,136.46728971962617,137.6728971962617,119.18691588785046
2,130.5776397515528,130.2360248447205,138.28571428571428,130.53416149068323,130.42857142857142,148.51552795031057,137.36024844720498,142.19254658385094,142.62111801242236,127.92546583850931
3,130.16551724137932,127.72413793103448,133.73793103448276,130.11724137931034,129.82758620689654,145.95862068965516,133.84827586206896,141.51724137931035,138.61379310344827,124.33103448275862
4,129.06586826347305,126.5688622754491,135.05389221556885,130.05389221556885,126.64670658682634,146.0119760479042,135.89820359281438,138.06586826347305,142.47305389221557,122.08383233532935
5,128.71304347826086,124.21739130434783,129.2173913043478,129.09565217391304,125.70434782608696,142.35652173913044,131.55652173913043,140.4695652173913,135.9304347826087,119.56521739130434
