0,1,2,3,4,5,6,7,8,9,10
1,132.10526315789474,132.07456140350877,138.97368421052633,134.51315789473685,134.6578947368421,152.58771929824562,136.35526315789474,145.06578947368422,142.92105263157896,129.46052631578948
2,130.06474820143885,132.3525179856115,136.28057553956833,131.4820143884892,132.23021582733813,153.40287769784172,134.9928057553957,147.86330935251797,144.72661870503597,133.76978417266187
3,132.76536312849163,128.79329608938548,134.7150837988827,128.48603351955308,129.9832402234637,147.68156424581005,136.49720670391062,144.79329608938548,142.47486033519553,128.17877094972067
4,131.3684210526316,130.39473684210526,133.5,131.69736842105263,129.82894736842104,150.3815789473684,136.73684210526315,145.8684210526316,142.41447368421052,129.25
5,135.26153846153846,135.96923076923076,139.26923076923077,137.8,136.14615384615385,155.55384615384617,139.94615384615383,148.55384615384617,145.66153846153847,134.74615384615385
