0,1,2,3,4,5,6,7,8,9,10
1,23,18,30,22,17,44,27,26,23,33
2,18,31,27,15,16,35,32,15,20,28
3,13,22,20,26,19,38,25,22,23,21
4,16,17,23,29,16,43,28,25,24,30
5,16,27,29,19,14,37,30,15,16,24
